train_id	name	item_condition_id	category_name	brand_name	price	shipping	item_description
777341	F/ship 4 Totoro Washi + 1 pen	1	Handmade/Paper Goods/Stationery		12.0	1	This listing is for all 4 Totoro washi tape for a limited time offer you also receive 1 randomly selected Totoro pen. Plus ghibli stickers add on Tags: kawaii
1463629	UCLA Men's Bundle + Shorts	1	Women/Other/Other	Adidas	76.0	1	7 items. 1: XL. 2: 2XL. 3:2XL. 4: XL. 5: 2XL. 6: OS 7: 38
350669	Listing for lol	1	Beauty/Makeup/Lips		12.0	1	- sunglasses and necklace :)
310222	25 pcs kawaii sticker flakes	1	Kids/Toys/Arts & Crafts		3.0	1	I ordered a bunch of stickers so you will recieve many cute ones! :)
759257	Chanel Mini Lipgloss Set	2	Beauty/Makeup/Lips	Chanel	30.0	1	Brand new never used authentic Mini Lipgloss gift set
288846	Maroon Foamposites	3	Men/Shoes/Fashion Sneakers	Nike	225.0	1	9/10 Condition N Sz 12
1178450	INC studdedHeart Black Blouse Dolman	2	Women/Tops & Blouses/Blouse	INC International Concepts	16.0	1	New without tags INC International Concepts Short sleeve Dolman Style Studdefd Heart shape blouse. Size Medium. 100% Rayon. Soft.
726296	Leggo silicone molds	3	Home/Kitchen & Dining/Bakeware		12.0	0	I used these for my son's leggo birthday party. They were very easy to work with! The 3rd picture is how they turned out. Tags: birthday, tubberware, cake molds, chocolate molds, lego party
840510	Supreme Uzi Chain	1	Handmade/Accessories/Men		15.0	1	10/10 New
1473033	Women Gold Palm Pendant Necklace FC	1	Vintage & Collectibles/Jewelry/Necklace		17.0	1	High quality Immediate purchase Ok? Free shipping 1.Detail: Necklace Type:Pendant Necklaces Length:45-80cm Metals Type:Zinc Alloy Shapepattern:Hand Gender:Women Material:Metal Chain Type:Link Chain Compatibility:All Compatible Material:Alloy,Fishing Line Color:Gold Style:Fashion Statement Necklace 2.It can be used for Christmas present. 3.I will ship within 2-3 days, it will take about 5 business days to arrive. 4.Jewelry Accessories,Necklaces, Pendants,Chain Necklaces. 5.Please feel free to contact ME with any questions!
1170796	20 Starbucks drink cards for [rm]	1	Home/Kitchen & Dining/Coffee & Tea Accessories	Starbucks	28.0	1	Starbucks drink cards l. Ask for bundle and will try to work with you
506473	NYX Suede Lipstick	1	Beauty/Makeup/Lips	NYX	9.0	0	Color in Vintage. New and unopened.
1134656	Ibloom Mini Berry Bread Doll Squishy	1	Kids/Toys/Hobbies		19.0	0	Brand new in packaging Soft and slow rising Smells like strawberry May have manufacturing defects No holds No free shipping Price is firm Bundle to save on shipping only Comments asking for lower price, free shipping, holds or bundle discounts will be ignored
587885	New Travel Size Fresh Face Wash	1	Beauty/Skin Care/Face	Sephora	4.0	1	New Travel Size No box Fresh Soy Face Cleanser 20 ml New Travel Size Fresh Face Wash
93928	iPod mini	3	Electronics/TV, Audio & Surveillance/Portable Audio & Accessories	Apple	14.0	0	iPod mini, purple. From 2006 I think. Works, but needs to be charged. Has scratches on the back. There are probably songs on it. No charger or headphones.
260369	Rock Revival Kai Boot Size 30	3	Women/Jeans/Boot Cut	Rock Revival	71.0	0	Rock Revival Kai Boot Size 30 Length 32 Bought on here and unfortunately too small for me! They are in excellent condition, look brand new. Material is a little stretchy. Cute detail on the pocket.
96202	ORIGINAL APPLE EARPODS	1	Electronics/Cell Phones & Accessories/Cell Phone Accessories	Apple	10.0	1	No description yet
486334	Ankle booties size 7.5 slip on. Like new	3	Women/Shoes/Boots		14.0	0	Worn one time . I already have a pair. These are dark brown fade. Toes darker. Slip on ankle boot with 3 inch heel. No flaws. Just worn one time
1437987	Big Star Liv Bundle	1	Women/Jeans/Boot Cut	Big Star	80.0	0	Size 26x34 stud and rhinestone embellished jeans. Brand new, never worn. Size 26x32 baby blue stitch big star Liv boot. Have slight wear on hem otherwise in great condition.
